,group,names,scores,logfoldchanges,pvals,pvals_adj
18622,B,CD48,23.850874,1.8949692,9.917156775208495e-126,1.3016795775800258e-123
18623,B,MT-ND3,23.810003,1.1620429,2.631011354127143e-125,3.4050438553028693e-123
18624,B,AFF3,23.702356,5.660069,3.4094757983927148e-124,4.3218608630721906e-122
18625,B,HIST1H4C,23.696857,1.7690284,3.884900186212375e-124,4.89101005076411e-122
18626,B,CORO1A,22.986269,1.7771125,6.39564510874888e-117,7.997581353217264e-115
18627,B,PNISR,22.88016,1.4195346,7.323236823086434e-116,9.096049925158433e-114
18628,B,BTG1,22.668554,1.542,9.155178421370956e-114,1.1220853446643197e-111
18629,B,HLA-DMB,22.501318,2.3472996,4.029077991655827e-112,4.8736043393185873e-110
18630,B,RPL24,22.49705,1.1266733,4.436143569091887e-112,5.33114993721971e-110
18631,B,CD40,22.437824,3.0767617,1.682807644407451e-111,2.0092723274224969e-109
18632,B,MALAT1,22.082966,0.9873984,4.6082408253328486e-108,5.466968779130451e-106
18633,B,TCL1A,21.925755,8.5510845,1.4757327456307173e-106,1.696359374123459e-104
18634,B,SWAP70,21.790966,2.493662,2.8262197311551017e-105,3.208886414999231e-103
18635,B,TNFRSF13C,21.66011,6.7304893,4.8805278117570087e-104,5.507556598304083e-102
18636,B,SNHG7,21.548569,1.7390364,5.460862224547897e-103,6.088203445163128e-101
18637,B,CD83,21.476612,2.5556178,2.5762684726510423e-102,2.855029977446278e-100
18638,B,P2RX5,21.247396,5.112153,3.4846496333200414e-100,3.7935535743443535e-98
18639,B,GAPT,21.162231,3.2935522,2.129003750285708e-99,2.3041796728969355e-97
18640,B,TOMM7,21.141792,1.1415089,3.283668105059458e-99,3.533188698856708e-97
