Mixture,Macrophages,CD8_T,Malignant,Neutrophils,Acinar,Monocytes,Cycling_T,NK,B,CD4_T,Dendritic,Mast,Plasma,Treg,Stellate,Vascular,CAF,Endothelial,Endocrine,Ductal,Schwann,P-value,Correlation,RMSE
TCGA-F2-A7TX-01A-33R-A38C-07,0.073863229783782,0.0485480506226321,0.0499459510302752,0.00172459962919754,0.372385795246331,0,0.0198105554996608,0,0.0454865219471611,0,0,0,0,0.00965754354858129,0.00657088190259167,0,0.127082600801679,0.0629432899010432,0.0558352862600777,0.126145693826987,0,0,0.751445281320429,0.689930375445778
TCGA-IB-7889-01A-11R-2156-07,0.0246693639539298,0.0302604589691846,0.112983270399164,0,0.328003281991777,0.0187772046437745,0,0,0.0794052305163137,0,0.0153031992750844,0.000286638138358591,0,0,0,0.0308611504162377,0.148140597038685,0.0594164280060857,0.0158723577300094,0.136020818921396,0,0,0.746066431202482,0.702867077855874
TCGA-HZ-7926-01A-11R-2156-07,0.00691287947537715,0.0520336714833036,0.0715605692543512,0,0.123922361094631,0.0077139337261592,0,0,0.0763294031352318,0,0.0166878399492559,0.0135904057497161,0,0,0,0.0247255232871826,0.160107582886928,0.0899747871481606,0,0.356441042809704,0,0,0.692721586796604,0.761069523831509
TCGA-FB-A5VM-01A-11R-A32O-07,0.0844495894253003,0,0.204754073480134,0.0032448082726309,0,0,0.0249981550662809,0,0.103669219826228,0.00344059643234099,0,0.00331109507931231,0,0,0.0296744546539781,0,0.311163444997822,0.0821544183730636,0.10658028280501,0,0.0425598615878997,0,0.748195992776384,0.693702341225326
TCGA-FB-AAPS-01A-12R-A39D-07,0.0689675165940544,0.137824453719736,0,0,0.0461834407733451,0,0,0,0.152335877940342,0,0,0.0161537180624494,0,0.00797878820117874,0.0245087970945349,0,0.406288602236287,0.0642329092748689,0,0.0755258961032036,0,0,0.715050877940571,0.713304530735034
TCGA-HV-A5A6-01A-11R-A26U-07,0.00629976530525973,0.0266308729712746,0.360055802540259,0,0,0.00625965913135047,0.023452151991474,0,0.0201655123806748,0,0,0.00361355764136423,0,0.0159402737429382,0.022703474421524,0,0.321124084380146,0.0684955992596533,0,0.125259246234082,0,0,0.718892566492623,0.71439146444668
TCGA-IB-8126-01A-11R-2404-07,0,0.0732662957469505,0,0.00686031017904301,0.71619967474571,0,0,0,0.0669311359544457,0,0.00200612709065581,0.0107097575401376,0,0,0,0,0.0866928599940579,0.0265131731065553,0.00653330617994149,0.00428735946250234,0,0,0.779735585451386,0.666082725897532
TCGA-2J-AAB8-01A-12R-A41B-07,0.0279080075932072,0.0958674281211728,0.304202908941967,0,0,0.00559324962162894,0,0,0.0472438436265771,0,0.0109369744544527,0.00431885175239159,0,0.0254031257136518,0.0453414070533783,0,0.358857612496844,0.036266273311863,0,0.038060317312866,0,0,0.732105022258938,0.698676774443369
TCGA-FB-A78T-01A-12R-A32O-07,0.0539611182317092,0.00291170891336197,0.162087926361593,0,0.423205320890752,0,0,0,0.0414984965919734,0,0,0.000510072843914599,0,0,0,0,0.0858951081496566,0.040338764598223,0.0279759357480292,0.161615547670787,0,0,0.805722467867907,0.621035467650444
TCGA-IB-AAUW-01A-12R-A38C-07,0.00679489716991564,0.0480735499886002,0,0,0.234145396540184,0.00841527103530152,0,0,0.0427040503823564,0,0,0.00187390101161406,0,0,0.0109689841251115,0,0.132455453808224,0.0663419515494519,0.113599443536141,0.3346271008531,0,0,0.792555787006982,0.685950816144659
